index,n_qubits,qc_depth,single_qubit_gates,multi_qubit_gates,qubit_topology,qasm_file,n_shots,mapped_backend,application,sdk,opt_level
0,27,3843,"{'rz': 2084, 'sx': 1594, 'x': 39, 'measure': 19}",{'cx': 1680},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (18, 21); (19, 16); (19, 20); (19, 22); (20, 19); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24)",pricingcall_mapped_ibm_montreal_qiskit_opt3_19.qasm,2696,ibm_27q,pricingcall,qiskit,3
1,27,580,"{'rz': 894, 'sx': 825, 'measure': 20, 'x': 3}",{'cx': 1559},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 15); (14, 11); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (18, 21); (19, 16); (19, 20); (19, 22); (20, 19); (21, 18); (21, 23); (22, 19); (23, 21); (23, 24); (24, 23)",realamprandom_mapped_ibm_montreal_qiskit_opt3_20.qasm,3035,ibm_27q,realamprandom,qiskit,3
2,27,418,"{'rz': 662, 'sx': 70, 'measure': 21, 'x': 3}",{'cx': 1118},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (18, 21); (19, 16); (19, 22); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24)",qftentangled_mapped_ibm_montreal_qiskit_opt3_21.qasm,2492,ibm_27q,qftentangled,qiskit,3
3,27,32,"{'rz': 96, 'sx': 96, 'measure': 12}",{'cx': 33},"(2, 3); (3, 2); (3, 5); (5, 3); (5, 8); (8, 5); (8, 11); (11, 8); (11, 14); (14, 11); (14, 16); (16, 14); (16, 19); (19, 16); (19, 22); (22, 19); (22, 25); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24)",routing_mapped_ibm_montreal_qiskit_opt3_12.qasm,1781,ibm_27q,routing,qiskit,3
4,27,26,"{'sx': 48, 'rz': 46, 'measure': 6}",{'cx': 15},"(18, 21); (21, 18); (21, 23); (23, 21); (23, 24); (24, 23); (24, 25); (25, 24); (25, 26); (26, 25)",routing_mapped_ibm_montreal_qiskit_opt3_6.qasm,3988,ibm_27q,routing,qiskit,3
5,27,96,"{'rz': 87, 'sx': 57, 'measure': 23, 'x': 5}",{'cx': 55},"(0, 1); (1, 0); (1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (4, 1); (4, 7); (5, 8); (6, 7); (7, 4); (7, 6); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (19, 16); (19, 20); (19, 22); (20, 19); (22, 19); (22, 25); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24); (25, 26); (26, 25)",dj_mapped_ibm_montreal_qiskit_opt3_24.qasm,4010,ibm_27q,dj,qiskit,3
6,27,467,"{'rz': 384, 'sx': 158, 'measure': 14, 'x': 2}",{'cx': 825},"(7, 10); (10, 7); (10, 12); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (16, 14); (16, 19); (19, 16); (19, 20); (19, 22); (20, 19); (22, 19); (22, 25); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24)",qnn_mapped_ibm_montreal_qiskit_opt3_14.qasm,1605,ibm_27q,qnn,qiskit,3
7,27,418,"{'rz': 376, 'sx': 108, 'x': 15, 'measure': 14}",{'cx': 567},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (19, 16)",qpeinexact_mapped_ibm_montreal_qiskit_opt3_15.qasm,1763,ibm_27q,qpeinexact,qiskit,3
8,27,1185,"{'rz': 1342, 'sx': 1126, 'x': 71, 'measure': 27}",{'cx': 3632},"(0, 1); (1, 0); (1, 2); (1, 4); (2, 1); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (6, 7); (7, 4); (7, 6); (7, 10); (8, 5); (8, 9); (8, 11); (9, 8); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 15); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (17, 18); (18, 15); (18, 17); (18, 21); (19, 16); (19, 20); (19, 22); (20, 19); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24); (25, 26); (26, 25)",su2random_mapped_ibm_montreal_qiskit_opt3_27.qasm,1238,ibm_27q,su2random,qiskit,3
9,27,74,"{'measure': 25, 'rz': 22, 'sx': 16, 'x': 2}",{'cx': 51},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 9); (8, 11); (9, 8); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 15); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (17, 18); (18, 15); (18, 17); (18, 21); (19, 16); (19, 20); (19, 22); (20, 19); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24); (25, 26); (26, 25)",ghz_mapped_ibm_montreal_qiskit_opt3_25.qasm,4003,ibm_27q,ghz,qiskit,3
10,27,772,"{'rz': 924, 'sx': 247, 'x': 38, 'measure': 23}",{'cx': 1503},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (6, 7); (7, 4); (7, 6); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (18, 21); (19, 16); (19, 20); (19, 22); (20, 19); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24); (25, 26); (26, 25)",qpeexact_mapped_ibm_montreal_qiskit_opt3_24.qasm,3248,ibm_27q,qpeexact,qiskit,3
11,27,555,"{'rz': 499, 'sx': 448, 'measure': 17, 'x': 5}",{'cx': 1212},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (16, 14); (16, 19); (19, 16); (19, 20); (19, 22); (20, 19); (22, 19)",twolocalrandom_mapped_ibm_montreal_qiskit_opt3_17.qasm,4093,ibm_27q,twolocalrandom,qiskit,3
12,27,69,"{'sx': 64, 'rz': 32, 'measure': 17, 'x': 1}",{'cx': 32},"(0, 1); (1, 0); (1, 2); (2, 1); (2, 3); (3, 2); (3, 5); (5, 3); (5, 8); (8, 5); (8, 11); (11, 8); (11, 14); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (15, 12); (15, 18); (18, 15); (18, 21); (21, 18); (21, 23); (23, 21); (23, 24); (24, 23); (24, 25); (25, 24); (25, 26); (26, 25)",wstate_mapped_ibm_montreal_qiskit_opt3_17.qasm,1887,ibm_27q,wstate,qiskit,3
13,27,529,"{'rz': 505, 'sx': 197, 'x': 20, 'measure': 17}",{'cx': 581},"(1, 2); (1, 4); (2, 1); (4, 1); (4, 7); (7, 4); (7, 10); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (18, 15); (19, 16); (19, 20); (19, 22); (20, 19); (22, 19); (22, 25); (25, 22)",ae_mapped_ibm_montreal_qiskit_opt3_17.qasm,3615,ibm_27q,ae,qiskit,3
14,27,527,"{'rz': 1015, 'sx': 341, 'measure': 25, 'x': 24}",{'cx': 1457},"(0, 1); (1, 0); (1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (6, 7); (7, 4); (7, 6); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (15, 18); (16, 14); (16, 19); (17, 18); (18, 15); (18, 17); (18, 21); (19, 16); (19, 22); (21, 18); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (24, 25); (25, 22); (25, 24); (25, 26); (26, 25)",qft_mapped_ibm_montreal_qiskit_opt3_25.qasm,1489,ibm_27q,qft,qiskit,3
15,27,53,"{'rz': 96, 'sx': 50, 'measure': 10}",{'cx': 61},"(7, 10); (10, 7); (10, 12); (12, 10); (12, 13); (12, 15); (13, 12); (15, 12); (15, 18); (18, 15); (18, 21); (19, 22); (21, 18); (22, 19); (22, 25); (25, 22)",qaoa_mapped_ibm_montreal_qiskit_opt3_10.qasm,3447,ibm_27q,qaoa,qiskit,3
16,27,920,"{'rz': 1021, 'sx': 512, 'x': 39, 'measure': 15}",{'cx': 1293},"(1, 2); (1, 4); (2, 1); (2, 3); (3, 2); (3, 5); (4, 1); (4, 7); (5, 3); (5, 8); (7, 4); (7, 10); (8, 5); (8, 11); (10, 7); (10, 12); (11, 8); (11, 14); (12, 10); (12, 13); (12, 15); (13, 12); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (16, 14); (16, 19); (19, 16)",random_mapped_ibm_montreal_qiskit_opt3_15.qasm,3670,ibm_27q,random,qiskit,3
17,27,31,"{'rz': 56, 'sx': 30, 'measure': 15, 'x': 1}",{'cx': 37},"(4, 7); (7, 4); (7, 10); (10, 7); (10, 12); (11, 14); (12, 10); (12, 15); (13, 14); (14, 11); (14, 13); (14, 16); (15, 12); (16, 14); (16, 19); (19, 16); (19, 22); (21, 23); (22, 19); (22, 25); (23, 21); (23, 24); (24, 23); (25, 22)",graphstate_mapped_ibm_montreal_qiskit_opt3_15.qasm,2424,ibm_27q,graphstate,qiskit,3
