QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,Application, Cost
3,SUCCESS,2,0,1790.94,0.01,1790.95,27,twolocalrandom,2865.5040000000004
8,SUCCESS,2,0,206.65,1790.95,1997.6,27,portfoliovqe,330.6399999999998
9,SUCCESS,2,0,248.91,1997.6,2246.51,27,qnn,398.25600000000054
14,SUCCESS,2,0,145.22,2246.51,2391.73,27,graphstate,232.3519999999997
19,SUCCESS,2,0,266.62,2391.73,2658.35,27,portfolioqaoa,426.59200000000055
29,SUCCESS,2,0,705.19,2658.35,3363.54,27,qft,1128.304
31,SUCCESS,2,0,1121.34,3363.54,4484.88,27,realamprandom,1794.1439999999996
39,SUCCESS,2,0,38.05,4484.88,4522.93,27,qaoa,60.880000000000294
44,SUCCESS,2,0,55.63,4522.93,4578.56,27,routing,89.00800000000018
45,SUCCESS,2,0,276.23,4578.56,4854.79,27,qpeexact,441.96799999999934
47,SUCCESS,2,0,370.16,4854.79,5224.95,27,qftentangled,592.2559999999997
55,SUCCESS,2,0,493.28,5224.95,5718.23,27,qpeexact,789.2480000000011
63,SUCCESS,2,0,36.91,5718.23,5755.14,27,wstate,59.05599999999977
64,SUCCESS,2,0,73.72,5755.14,5828.86,27,qaoa,117.95199999999896
66,SUCCESS,2,0,158.75,5828.86,5987.61,27,wstate,254.0
70,SUCCESS,2,0,985.77,5987.61,6973.38,27,qnn,1577.2320000000009
84,SUCCESS,2,0,366.97,6973.38,7340.35,27,pricingput,587.1520000000004
86,SUCCESS,2,0,877.4,7340.35,8217.75,27,portfoliovqe,1403.8399999999995
91,SUCCESS,2,0,513.54,8217.75,8731.29,27,portfoliovqe,821.6640000000015
99,SUCCESS,2,0,1185.36,8731.29,9916.65,27,qft,1896.5759999999982
105,SUCCESS,2,0,38.46,9916.65,9955.11,27,dj,61.536000000001515
112,SUCCESS,2,0,479.48,9955.11,10434.59,27,qpeexact,767.1679999999993
118,SUCCESS,2,0,268.99,10434.59,10703.58,27,realamprandom,430.3839999999997
129,SUCCESS,2,0,3167.49,10703.58,13871.07,27,pricingput,5067.984
136,SUCCESS,2,0,1050.79,13871.07,14921.86,27,qpeinexact,1681.2640000000015
139,SUCCESS,2,0,603.82,14921.86,15525.68,27,qpeinexact,966.1119999999996
141,SUCCESS,2,0,706.13,15525.68,16231.81,27,su2random,1129.8079999999989
158,SUCCESS,2,0,26.56,16231.81,16258.37,27,graphstate,42.4960000000021
159,SUCCESS,2,0,966.43,16258.37,17224.8,27,groundstate,1546.2879999999977
160,SUCCESS,2,0,694.08,17224.8,17918.88,27,realamprandom,1110.527999999997
161,SUCCESS,2,0,960.11,17918.88,18878.99,27,twolocalrandom,1536.176000000001
166,SUCCESS,2,0,245.43,18878.99,19124.42,27,qpeexact,392.6880000000005
169,SUCCESS,2,0,51.26,19124.42,19175.68,27,ghz,82.01599999999745
184,SUCCESS,2,0,572.11,19175.68,19747.79,27,qpeexact,915.3760000000068
