QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,Application, Cost
1,SUCCESS,2,1,774.06,0.01,774.07,27,realamprandom,0.0
2,SUCCESS,2,1,618.3,774.07,1392.37,27,qftentangled,0.0
3,SUCCESS,2,1,28.26,1392.37,1420.63,27,routing,0.0
0,SUCCESS,2,0,2733.55,0.01,2733.56,27,pricingcall,0.0
4,SUCCESS,2,0,46.26,2733.56,2779.82,27,routing,0.0
5,SUCCESS,2,0,87.78,2779.82,2867.6,27,dj,0.0
6,SUCCESS,2,0,214.42,2867.6,3082.02,27,qnn,0.0
8,SUCCESS,2,1,1963.65,1420.63,3384.28,27,su2random,0.0
12,SUCCESS,2,1,85.62,3384.28,3469.9,27,wstate,0.0
7,SUCCESS,2,0,525.78,3082.02,3607.8,27,qpeinexact,0.0
9,SUCCESS,2,0,78.28,3607.8,3686.08,27,ghz,0.0
13,SUCCESS,2,1,823.04,3469.9,4292.94,27,ae,0.0
10,SUCCESS,2,0,670.64,3686.08,4356.72,27,qpeexact,0.0
11,SUCCESS,2,0,326.01,4356.72,4682.73,27,twolocalrandom,0.0
14,SUCCESS,2,1,653.05,4292.94,4945.99,27,qft,0.0
15,SUCCESS,2,1,64.91,4945.99,5010.9,27,qaoa,0.0
18,SUCCESS,2,0,997.04,4682.73,5679.77,27,pricingcall,0.0
20,SUCCESS,2,0,65.49,5679.77,5745.26,27,wstate,0.0
16,SUCCESS,2,1,1131.61,5010.9,6142.51,27,random,0.0
17,SUCCESS,2,1,39.31,6142.51,6181.82,27,graphstate,0.0
19,SUCCESS,2,1,410.13,6181.82,6591.95,27,ae,0.0
21,SUCCESS,2,0,1260.01,5745.26,7005.27,27,twolocalrandom,0.0
22,SUCCESS,2,1,464.44,6591.95,7056.39,27,portfoliovqe,0.0
27,SUCCESS,2,0,131.07,7005.27,7136.34,27,qft,0.0
28,SUCCESS,2,0,81.61,7136.34,7217.95,27,dj,0.0
31,SUCCESS,2,0,290.79,7217.95,7508.74,27,qpeexact,0.0
37,SUCCESS,2,0,332.48,7508.74,7841.22,27,qnn,0.0
23,SUCCESS,2,1,869.77,7056.39,7926.16,27,qpeinexact,0.0
24,SUCCESS,2,1,38.02,7926.16,7964.18,27,graphstate,0.0
38,SUCCESS,2,0,638.5,7841.22,8479.72,27,qnn,0.0
41,SUCCESS,2,0,898.32,8479.72,9378.04,27,random,0.0
42,SUCCESS,2,0,206.48,9378.04,9584.52,27,su2random,0.0
25,SUCCESS,2,1,1836.52,7964.18,9800.7,27,random,0.0
46,SUCCESS,2,0,240.37,9584.52,9824.89,27,qftentangled,0.0
48,SUCCESS,2,0,41.73,9824.89,9866.62,27,dj,0.0
49,SUCCESS,2,0,333.21,9866.62,10199.83,27,qft,0.0
52,SUCCESS,2,0,29.42,10199.83,10229.25,27,graphstate,0.0
55,SUCCESS,2,0,108.3,10229.25,10337.55,27,wstate,0.0
60,SUCCESS,2,0,111.23,10337.55,10448.78,27,pricingcall,0.0
61,SUCCESS,2,0,38.25,10448.78,10487.03,27,graphstate,0.0
26,SUCCESS,2,1,708.97,9800.7,10509.67,27,qnn,0.0
29,SUCCESS,2,1,286.95,10509.67,10796.62,27,qftentangled,0.0
63,SUCCESS,2,0,454.34,10487.03,10941.37,27,qft,0.0
30,SUCCESS,2,1,277,10796.62,11073.62,27,realamprandom,0.0
32,SUCCESS,2,1,25.4,11073.62,11099.02,27,ghz,0.0
33,SUCCESS,2,1,45.38,11099.02,11144.4,27,graphstate,0.0
68,SUCCESS,2,0,725.81,10941.37,11667.18,27,qpeexact,0.0
70,SUCCESS,2,0,727.66,11667.18,12394.84,27,qpeinexact,0.0
34,SUCCESS,2,1,1671.54,11144.4,12815.94,27,random,0.0
71,SUCCESS,2,0,593.75,12394.84,12988.59,27,su2random,0.0
35,SUCCESS,2,1,489.1,12815.94,13305.04,27,su2random,0.0
74,SUCCESS,2,0,1311.14,12988.59,14299.73,27,realamprandom,0.0
36,SUCCESS,2,1,1334.04,13305.04,14639.08,27,qpeinexact,0.0
39,SUCCESS,2,1,47.03,14639.08,14686.11,27,graphstate,0.0
75,SUCCESS,2,0,445.99,14299.73,14745.72,27,qftentangled,0.0
40,SUCCESS,2,1,552.92,14686.11,15239.03,27,pricingcall,0.0
77,SUCCESS,2,0,618.18,14745.72,15363.9,27,ae,0.0
43,SUCCESS,2,1,983.7,15239.03,16222.73,27,qpeinexact,0.0
44,SUCCESS,2,1,20.29,16222.73,16243.02,27,ghz,0.0
45,SUCCESS,2,1,167.7,16243.02,16410.72,27,qpeexact,0.0
47,SUCCESS,2,1,736.54,16410.72,17147.26,27,realamprandom,0.0
78,SUCCESS,2,0,1916.14,15363.9,17280.04,27,twolocalrandom,0.0
79,SUCCESS,2,0,87.05,17280.04,17367.09,27,wstate,0.0
80,SUCCESS,2,0,26.63,17367.09,17393.72,27,graphstate,0.0
81,SUCCESS,2,0,50.54,17393.72,17444.26,27,tsp,0.0
50,SUCCESS,2,1,876.16,17147.26,18023.42,27,qnn,0.0
51,SUCCESS,2,1,871.5,18023.42,18894.92,27,qpeinexact,0.0
53,SUCCESS,2,1,1918.59,18894.92,20813.51,27,random,0.0
54,SUCCESS,2,1,440.13,20813.51,21253.64,27,ae,0.0
82,SUCCESS,2,0,3921.17,17444.26,21365.43,27,grover-v-chain,0.0
56,SUCCESS,2,1,408.66,21253.64,21662.3,27,twolocalrandom,0.0
83,SUCCESS,2,0,354.69,21365.43,21720.12,27,qft,0.0
86,SUCCESS,2,0,499.54,21720.12,22219.66,27,realamprandom,0.0
57,SUCCESS,2,1,606.27,21662.3,22268.57,27,portfoliovqe,0.0
87,SUCCESS,2,0,326.78,22219.66,22546.44,27,qpeexact,0.0
88,SUCCESS,2,0,20.65,22546.44,22567.09,27,ghz,0.0
92,SUCCESS,2,0,1133.61,22567.09,23700.7,27,qnn,0.0
97,SUCCESS,2,0,368.13,23700.7,24068.83,27,qnn,0.0
98,SUCCESS,2,0,346.99,24068.83,24415.82,27,qpeinexact,0.0
99,SUCCESS,2,0,658.23,24415.82,25074.05,27,su2random,0.0
100,SUCCESS,2,0,45.82,25074.05,25119.87,27,ghz,0.0
101,SUCCESS,2,0,876.39,25119.87,25996.26,27,qpeexact,0.0
102,SUCCESS,2,0,631.3,25996.26,26627.56,27,qft,0.0
104,SUCCESS,2,0,227.72,26627.56,26855.28,27,twolocalrandom,0.0
106,SUCCESS,2,0,117.96,26855.28,26973.24,27,dj,0.0
107,SUCCESS,2,0,540.51,26973.24,27513.75,27,portfolioqaoa,0.0
111,SUCCESS,2,0,32.44,27513.75,27546.19,27,graphstate,0.0
112,SUCCESS,2,0,645.98,27546.19,28192.17,27,random,0.0
58,SUCCESS,2,1,5942.28,22268.57,28210.85,27,pricingput,0.0
114,SUCCESS,2,0,595.98,28192.17,28788.15,27,random,0.0
59,SUCCESS,2,1,843.64,28210.85,29054.49,27,random,0.0
116,SUCCESS,2,0,286.24,28788.15,29074.39,27,qpeexact,0.0
62,SUCCESS,2,1,48.31,29054.49,29102.8,27,qaoa,0.0
117,SUCCESS,2,0,35.32,29074.39,29109.71,27,ghz,0.0
118,SUCCESS,2,0,549.66,29109.71,29659.37,27,portfolioqaoa,0.0
119,SUCCESS,2,0,992.17,29659.37,30651.54,27,pricingput,0.0
122,SUCCESS,2,0,236.15,30651.54,30887.69,27,twolocalrandom,0.0
123,SUCCESS,2,0,393.81,30887.69,31281.5,27,ae,0.0
124,SUCCESS,2,0,507.23,31281.5,31788.73,27,qpeexact,0.0
126,SUCCESS,2,0,60.54,31788.73,31849.27,27,ghz,0.0
64,SUCCESS,2,1,2951.94,29102.8,32054.74,27,pricingput,0.0
127,SUCCESS,2,0,394.87,31849.27,32244.14,27,qpeinexact,0.0
128,SUCCESS,2,0,54.65,32244.14,32298.79,27,tsp,0.0
129,SUCCESS,2,0,374.1,32298.79,32672.89,27,su2random,0.0
130,SUCCESS,2,0,40.82,32672.89,32713.71,27,vqe,0.0
65,SUCCESS,2,1,763.05,32054.74,32817.79,27,twolocalrandom,0.0
132,SUCCESS,2,0,125.53,32713.71,32839.24,27,dj,0.0
66,SUCCESS,2,1,109.26,32817.79,32927.05,27,wstate,0.0
67,SUCCESS,2,1,276.31,32927.05,33203.36,27,ae,0.0
69,SUCCESS,2,1,113.36,33203.36,33316.72,27,ghz,0.0
133,SUCCESS,2,0,823.36,32839.24,33662.6,27,realamprandom,0.0
72,SUCCESS,2,1,400.83,33316.72,33717.55,27,qnn,0.0
134,SUCCESS,2,0,185.68,33662.6,33848.28,27,pricingput,0.0
73,SUCCESS,2,1,160.77,33717.55,33878.32,27,dj,0.0
137,SUCCESS,2,0,650.14,33848.28,34498.42,27,su2random,0.0
76,SUCCESS,2,1,622.92,33878.32,34501.24,27,pricingcall,0.0
139,SUCCESS,2,0,24.64,34498.42,34523.06,27,ghz,0.0
84,SUCCESS,2,1,28.87,34501.24,34530.11,27,dj,0.0
141,SUCCESS,2,0,89.61,34523.06,34612.67,27,groundstate,0.0
85,SUCCESS,2,1,155.91,34530.11,34686.02,27,qftentangled,0.0
142,SUCCESS,2,0,304.79,34612.67,34917.46,27,qftentangled,0.0
144,SUCCESS,2,0,37.89,34917.46,34955.35,27,dj,0.0
149,SUCCESS,2,0,2054.41,34955.35,37009.76,27,twolocalrandom,0.0
89,SUCCESS,2,1,3544.54,34686.02,38230.56,27,qwalk-v-chain,0.0
90,SUCCESS,2,1,582.31,38230.56,38812.87,27,su2random,0.0
91,SUCCESS,2,1,611.37,38812.87,39424.24,27,qpeinexact,0.0
154,SUCCESS,2,0,3597.97,37009.76,40607.73,27,qwalk-v-chain,0.0
159,SUCCESS,2,0,478.72,40607.73,41086.45,27,qftentangled,0.0
93,SUCCESS,2,1,1691.39,39424.24,41115.63,27,realamprandom,0.0
163,SUCCESS,2,0,187.83,41086.45,41274.28,27,wstate,0.0
94,SUCCESS,2,1,566.83,41115.63,41682.46,27,qftentangled,0.0
95,SUCCESS,2,1,137.15,41682.46,41819.61,27,dj,0.0
96,SUCCESS,2,1,27.58,41819.61,41847.19,27,vqe,0.0
103,SUCCESS,2,1,34.5,41847.19,41881.69,27,wstate,0.0
105,SUCCESS,2,1,273,41881.69,42154.69,27,ae,0.0
108,SUCCESS,2,1,17.44,42154.69,42172.13,27,ghz,0.0
109,SUCCESS,2,1,615.25,42172.13,42787.38,27,qft,0.0
164,SUCCESS,2,0,1822.66,41274.28,43096.94,27,twolocalrandom,0.0
110,SUCCESS,2,1,416.18,42787.38,43203.56,27,qpeexact,0.0
113,SUCCESS,2,1,9.84,43203.56,43213.4,27,graphstate,0.0
115,SUCCESS,2,1,650.77,43213.4,43864.17,27,qft,0.0
120,SUCCESS,2,1,39.52,43864.17,43903.69,27,dj,0.0
121,SUCCESS,2,1,68.49,43903.69,43972.18,27,wstate,0.0
125,SUCCESS,2,1,210.05,43972.18,44182.23,27,qft,0.0
165,SUCCESS,2,0,1242.66,43096.94,44339.6,27,ae,0.0
131,SUCCESS,2,1,317.18,44182.23,44499.41,27,qnn,0.0
166,SUCCESS,2,0,434.49,44339.6,44774.09,27,pricingcall,0.0
170,SUCCESS,2,0,49.55,44774.09,44823.64,27,qaoa,0.0
135,SUCCESS,2,1,764.33,44499.41,45263.74,27,qftentangled,0.0
171,SUCCESS,2,0,741.54,44823.64,45565.18,27,qft,0.0
136,SUCCESS,2,1,1005.39,45263.74,46269.13,27,qnn,0.0
172,SUCCESS,2,0,882.81,45565.18,46447.99,27,portfolioqaoa,0.0
138,SUCCESS,2,1,481.03,46269.13,46750.16,27,qpeinexact,0.0
174,SUCCESS,2,0,625.84,46447.99,47073.83,27,twolocalrandom,0.0
