QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,Application
2,SUCCESS,2,1,626.83,0.01,626.84,27,qftentangled
4,SUCCESS,2,1,18.96,626.84,645.8,27,routing
6,SUCCESS,2,1,339.16,645.8,984.96,27,qnn
7,SUCCESS,2,1,320.12,984.96,1305.08,27,qpeinexact
9,SUCCESS,2,1,51.8,1305.08,1356.88,27,ghz
10,SUCCESS,2,1,524.97,1356.88,1881.85,27,qpeexact
12,SUCCESS,2,1,32.64,1881.85,1914.49,27,wstate
0,SUCCESS,2,0,2743.58,0.01,2743.59,27,pricingcall
14,SUCCESS,2,1,858.36,1914.49,2772.85,27,qft
15,SUCCESS,2,1,83.19,2772.85,2856.04,27,qaoa
1,SUCCESS,2,0,1000.13,2743.59,3743.72,27,realamprandom
3,SUCCESS,2,0,42.89,3743.72,3786.61,27,routing
5,SUCCESS,2,0,155.23,3786.61,3941.84,27,dj
16,SUCCESS,2,1,1133.14,2856.04,3989.18,27,random
17,SUCCESS,2,1,21.86,3989.18,4011.04,27,graphstate
8,SUCCESS,2,0,655.36,3941.84,4597.2,27,su2random
11,SUCCESS,2,0,522.19,4597.2,5119.39,27,twolocalrandom
13,SUCCESS,2,0,847.79,5119.39,5967.18,27,ae
18,SUCCESS,2,1,2328.39,4011.04,6339.43,27,pricingcall
22,SUCCESS,2,1,294.18,6339.43,6633.61,27,portfoliovqe
19,SUCCESS,2,0,1243.26,5967.18,7210.44,27,ae
23,SUCCESS,2,1,684.73,6633.61,7318.34,27,qpeinexact
20,SUCCESS,2,0,150.09,7210.44,7360.53,27,wstate
24,SUCCESS,2,1,49.65,7318.34,7367.99,27,graphstate
21,SUCCESS,2,0,619.05,7360.53,7979.58,27,twolocalrandom
27,SUCCESS,2,0,453.69,7979.58,8433.27,27,qft
28,SUCCESS,2,0,28.58,8433.27,8461.85,27,dj
29,SUCCESS,2,0,453.54,8461.85,8915.39,27,qftentangled
30,SUCCESS,2,0,250.99,8915.39,9166.38,27,realamprandom
32,SUCCESS,2,0,7.59,9166.38,9173.97,27,ghz
25,SUCCESS,2,1,2484.25,7367.99,9852.24,27,random
34,SUCCESS,2,0,813.77,9173.97,9987.74,27,random
26,SUCCESS,2,1,463.41,9852.24,10315.65,27,qnn
35,SUCCESS,2,0,432.13,9987.74,10419.87,27,su2random
31,SUCCESS,2,1,256.82,10315.65,10572.47,27,qpeexact
33,SUCCESS,2,1,49.99,10572.47,10622.46,27,graphstate
37,SUCCESS,2,1,320.71,10622.46,10943.17,27,qnn
39,SUCCESS,2,1,46.15,10943.17,10989.32,27,graphstate
36,SUCCESS,2,0,676.11,10419.87,11095.98,27,qpeinexact
40,SUCCESS,2,1,547.51,10989.32,11536.83,27,pricingcall
38,SUCCESS,2,0,1193.89,11095.98,12289.87,27,qnn
47,SUCCESS,2,0,797.76,12289.87,13087.63,27,realamprandom
48,SUCCESS,2,0,57.92,13087.63,13145.55,27,dj
51,SUCCESS,2,0,256.39,13145.55,13401.94,27,qpeinexact
41,SUCCESS,2,1,2091.05,11536.83,13627.88,27,random
42,SUCCESS,2,1,377.94,13627.88,14005.82,27,su2random
53,SUCCESS,2,0,835.21,13401.94,14237.15,27,random
43,SUCCESS,2,1,350.36,14005.82,14356.18,27,qpeinexact
44,SUCCESS,2,1,12.22,14356.18,14368.4,27,ghz
54,SUCCESS,2,0,289.72,14237.15,14526.87,27,ae
55,SUCCESS,2,0,71.95,14526.87,14598.82,27,wstate
45,SUCCESS,2,1,293.29,14368.4,14661.69,27,qpeexact
46,SUCCESS,2,1,317.06,14661.69,14978.75,27,qftentangled
49,SUCCESS,2,1,256.95,14978.75,15235.7,27,qft
56,SUCCESS,2,0,824.11,14598.82,15422.93,27,twolocalrandom
50,SUCCESS,2,1,841.48,15235.7,16077.18,27,qnn
52,SUCCESS,2,1,37.16,16077.18,16114.34,27,graphstate
57,SUCCESS,2,1,345.27,16114.34,16459.61,27,portfoliovqe
60,SUCCESS,2,1,136.05,16459.61,16595.66,27,pricingcall
61,SUCCESS,2,1,20.73,16595.66,16616.39,27,graphstate
62,SUCCESS,2,1,51.16,16616.39,16667.55,27,qaoa
63,SUCCESS,2,1,499.55,16667.55,17167.1,27,qft
64,SUCCESS,2,1,2206.43,17167.1,19373.53,27,pricingput
67,SUCCESS,2,1,288.57,19373.53,19662.1,27,ae
68,SUCCESS,2,1,995.5,19662.1,20657.6,27,qpeexact
69,SUCCESS,2,1,45.79,20657.6,20703.39,27,ghz
73,SUCCESS,2,1,48.44,20703.39,20751.83,27,dj
76,SUCCESS,2,1,952.35,20751.83,21704.18,27,pricingcall
77,SUCCESS,2,1,1275.29,21704.18,22979.47,27,ae
58,SUCCESS,2,0,10901.85,15422.93,26324.78,27,pricingput
59,SUCCESS,2,0,1130.13,26324.78,27454.91,27,random
65,SUCCESS,2,0,429.94,27454.91,27884.85,27,twolocalrandom
66,SUCCESS,2,0,53.16,27884.85,27938.01,27,wstate
70,SUCCESS,2,0,349.26,27938.01,28287.27,27,qpeinexact
71,SUCCESS,2,0,661.45,28287.27,28948.72,27,su2random
72,SUCCESS,2,0,385.47,28948.72,29334.19,27,qnn
74,SUCCESS,2,0,1013.48,29334.19,30347.67,27,realamprandom
75,SUCCESS,2,0,240.6,30347.67,30588.27,27,qftentangled
78,SUCCESS,2,0,1679.06,30588.27,32267.33,27,twolocalrandom
79,SUCCESS,2,0,75.12,32267.33,32342.45,27,wstate
80,SUCCESS,2,0,43.28,32342.45,32385.73,27,graphstate
81,SUCCESS,2,0,68.47,32385.73,32454.2,27,tsp
86,SUCCESS,2,0,216.87,32454.2,32671.07,27,realamprandom
82,SUCCESS,2,1,9740.14,22979.47,32719.61,27,grover-v-chain
87,SUCCESS,2,0,157.53,32671.07,32828.6,27,qpeexact
88,SUCCESS,2,0,25.3,32828.6,32853.9,27,ghz
83,SUCCESS,2,1,472.1,32719.61,33191.71,27,qft
84,SUCCESS,2,1,42.43,33191.71,33234.14,27,dj
91,SUCCESS,2,0,501.68,32853.9,33355.58,27,qpeinexact
85,SUCCESS,2,1,174.94,33234.14,33409.08,27,qftentangled
92,SUCCESS,2,0,773.41,33355.58,34128.99,27,qnn
93,SUCCESS,2,0,1778.13,34128.99,35907.12,27,realamprandom
96,SUCCESS,2,0,38.95,35907.12,35946.07,27,vqe
89,SUCCESS,2,1,2773.2,33409.08,36182.28,27,qwalk-v-chain
97,SUCCESS,2,0,304.76,35946.07,36250.83,27,qnn
100,SUCCESS,2,0,91.32,36250.83,36342.15,27,ghz
90,SUCCESS,2,1,504.94,36182.28,36687.22,27,su2random
102,SUCCESS,2,0,538.29,36342.15,36880.44,27,qft
106,SUCCESS,2,0,111.16,36880.44,36991.6,27,dj
94,SUCCESS,2,1,368.25,36687.22,37055.47,27,qftentangled
95,SUCCESS,2,1,67.8,37055.47,37123.27,27,dj
98,SUCCESS,2,1,198.8,37123.27,37322.07,27,qpeinexact
107,SUCCESS,2,0,633.67,36991.6,37625.27,27,portfolioqaoa
110,SUCCESS,2,0,263.28,37625.27,37888.55,27,qpeexact
113,SUCCESS,2,0,17.81,37888.55,37906.36,27,graphstate
99,SUCCESS,2,1,878.14,37322.07,38200.21,27,su2random
114,SUCCESS,2,0,387.71,37906.36,38294.07,27,random
117,SUCCESS,2,0,12.65,38294.07,38306.72,27,ghz
101,SUCCESS,2,1,536.02,38200.21,38736.23,27,qpeexact
103,SUCCESS,2,1,67.6,38736.23,38803.83,27,wstate
119,SUCCESS,2,0,633.06,38306.72,38939.78,27,pricingput
104,SUCCESS,2,1,184.01,38803.83,38987.84,27,twolocalrandom
120,SUCCESS,2,0,97.47,38939.78,39037.25,27,dj
122,SUCCESS,2,0,252.37,39037.25,39289.62,27,twolocalrandom
105,SUCCESS,2,1,347.51,38987.84,39335.35,27,ae
108,SUCCESS,2,1,23.22,39335.35,39358.57,27,ghz
124,SUCCESS,2,0,479.77,39289.62,39769.39,27,qpeexact
109,SUCCESS,2,1,656.85,39358.57,40015.42,27,qft
111,SUCCESS,2,1,53.43,40015.42,40068.85,27,graphstate
125,SUCCESS,2,0,343.09,39769.39,40112.48,27,qft
126,SUCCESS,2,0,64.44,40112.48,40176.92,27,ghz
112,SUCCESS,2,1,412.63,40068.85,40481.48,27,random
129,SUCCESS,2,0,888.76,40176.92,41065.68,27,su2random
130,SUCCESS,2,0,39.89,41065.68,41105.57,27,vqe
115,SUCCESS,2,1,877.64,40481.48,41359.12,27,qft
134,SUCCESS,2,0,364.97,41105.57,41470.54,27,pricingput
116,SUCCESS,2,1,709.5,41359.12,42068.62,27,qpeexact
118,SUCCESS,2,1,282.28,42068.62,42350.9,27,portfolioqaoa
121,SUCCESS,2,1,55.36,42350.9,42406.26,27,wstate
135,SUCCESS,2,0,1022.61,41470.54,42493.15,27,qftentangled
123,SUCCESS,2,1,374.54,42406.26,42780.8,27,ae
127,SUCCESS,2,1,420.29,42780.8,43201.09,27,qpeinexact
128,SUCCESS,2,1,62.55,43201.09,43263.64,27,tsp
131,SUCCESS,2,1,298.3,43263.64,43561.94,27,qnn
136,SUCCESS,2,0,1074.78,42493.15,43567.93,27,qnn
142,SUCCESS,2,0,114.35,43567.93,43682.28,27,qftentangled
144,SUCCESS,2,0,41.98,43682.28,43724.26,27,dj
132,SUCCESS,2,1,172.83,43561.94,43734.77,27,dj
145,SUCCESS,2,0,366.39,43724.26,44090.65,27,qft
133,SUCCESS,2,1,1118.89,43734.77,44853.66,27,realamprandom
137,SUCCESS,2,1,195.32,44853.66,45048.98,27,su2random
138,SUCCESS,2,1,993.43,45048.98,46042.41,27,qpeinexact
146,SUCCESS,2,0,1960.3,44090.65,46050.95,27,random
139,SUCCESS,2,1,19.48,46042.41,46061.89,27,ghz
140,SUCCESS,2,1,231.93,46061.89,46293.82,27,qpeexact
141,SUCCESS,2,1,48.57,46293.82,46342.39,27,groundstate
143,SUCCESS,2,1,401.52,46342.39,46743.91,27,realamprandom
147,SUCCESS,2,1,72.07,46743.91,46815.98,27,graphstate
150,SUCCESS,2,1,195,46815.98,47010.98,27,wstate
148,SUCCESS,2,0,1279.9,46050.95,47330.85,27,ae
152,SUCCESS,2,1,490.43,47010.98,47501.41,27,qpeinexact
156,SUCCESS,2,1,559.65,47501.41,48061.06,27,qpeexact
157,SUCCESS,2,1,248.46,48061.06,48309.52,27,groundstate
159,SUCCESS,2,1,432.22,48309.52,48741.74,27,qftentangled
160,SUCCESS,2,1,93.16,48741.74,48834.9,27,dj
149,SUCCESS,2,0,1828.32,47330.85,49159.17,27,twolocalrandom
