QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,No_Layers,Cost,Application
3,SUCCESS,2,0,3393.76,0.01,3393.77,27,2501,5430.013217391304,twolocalrandom
8,SUCCESS,2,0,285.65,3393.77,3679.42,27,339,457.04278260869546,portfoliovqe
9,SUCCESS,2,0,212.44,3679.42,3891.86,27,233,339.9040000000001,qnn
14,SUCCESS,2,0,136.78,3891.86,4028.64,27,84,218.84800000000033,graphstate
19,SUCCESS,2,0,461.84,4028.64,4490.48,27,445,738.9440000000003,portfolioqaoa
29,SUCCESS,2,0,437.91,4490.48,4928.39,27,465,700.6559999999998,qft
31,SUCCESS,2,0,542.29,4928.39,5470.68,27,1057,867.664,realamprandom
39,SUCCESS,2,0,17.38,5470.68,5488.06,27,35,27.808000000000177,qaoa
44,SUCCESS,2,0,78.43,5488.06,5566.49,27,116,125.48799999999902,routing
45,SUCCESS,2,0,147.38,5566.49,5713.87,27,223,235.8080000000002,qpeexact
47,SUCCESS,2,0,819.26,5713.87,6533.13,27,680,1310.8160000000005,qftentangled
55,SUCCESS,2,0,648.71,6533.13,7181.84,27,912,1037.9360000000001,qpeexact
63,SUCCESS,2,0,39.94,7181.84,7221.78,27,65,63.90400000000082,wstate
64,SUCCESS,2,0,51.32,7221.78,7273.1,27,42,82.11199999999954,qaoa
66,SUCCESS,2,0,119.11,7273.1,7392.21,27,112,190.57599999999948,wstate
70,SUCCESS,2,0,743.77,7392.21,8135.98,27,802,1190.0319999999992,qnn
84,SUCCESS,2,0,408.64,8135.98,8544.62,27,326,653.824000000002,pricingput
86,SUCCESS,2,0,309.35,8544.62,8853.97,27,500,494.9599999999977,portfoliovqe
91,SUCCESS,2,0,166.13,8853.97,9020.1,27,320,265.80800000000164,portfoliovqe
99,SUCCESS,2,0,584.39,9020.1,9604.49,27,848,935.0239999999991,qft
105,SUCCESS,2,0,48.71,9604.49,9653.2,27,63,77.93600000000151,dj
112,SUCCESS,2,0,195.12,9653.2,9848.32,27,434,312.1919999999984,qpeexact
118,SUCCESS,2,0,234.26,9848.32,10082.58,27,252,374.8160000000004,realamprandom
129,SUCCESS,2,0,3769.68,10082.58,13852.26,27,2195,6031.488000000001,pricingput
136,SUCCESS,2,0,1233.58,13852.26,15085.84,27,912,1973.728,qpeinexact
139,SUCCESS,2,0,701.11,15085.84,15786.95,27,756,1121.776000000001,qpeinexact
141,SUCCESS,2,0,429.27,15786.95,16216.22,27,804,686.8319999999978,su2random
158,SUCCESS,2,0,32.51,16216.22,16248.73,27,30,52.01600000000035,graphstate
159,SUCCESS,2,0,605.81,16248.73,16854.54,27,576,969.2959999999963,groundstate
160,SUCCESS,2,0,1333.41,16854.54,18187.95,27,1114,2133.4560000000056,realamprandom
161,SUCCESS,2,0,1324.45,18187.95,19512.4,27,1218,2119.1199999999953,twolocalrandom
166,SUCCESS,2,0,179.05,19512.4,19691.45,27,210,286.4800000000047,qpeexact
169,SUCCESS,2,0,99.95,19691.45,19791.4,27,66,159.92000000000118,ghz
184,SUCCESS,2,0,1169.89,19791.4,20961.29,27,729,1871.8239999999992,qpeexact
193,SUCCESS,2,0,12.14,20961.29,20973.43,27,21,19.42399999999325,ghz
197,SUCCESS,2,0,550.04,20973.43,21523.47,27,352,880.0640000000072,portfoliovqe
207,SUCCESS,2,0,45.93,21523.47,21569.4,27,41,73.48799999999464,wstate
208,SUCCESS,2,0,354.63,21569.4,21924.03,27,210,567.4080000000016,su2random
213,SUCCESS,2,0,23.14,21924.03,21947.17,27,16,37.02399999999907,ghz
224,SUCCESS,2,0,188.23,21947.17,22135.4,27,316,301.1680000000051,qpeexact
229,SUCCESS,2,0,37.36,22135.4,22172.76,27,73,59.775999999995115,wstate
231,SUCCESS,2,0,10249.97,22172.76,32422.73,27,7008,16399.952,pricingput
236,SUCCESS,2,0,4515.32,32422.73,36938.05,27,3916,7224.512000000006,qwalk-v-chain
237,SUCCESS,2,0,1095.25,36938.05,38033.3,27,976,1752.4,qpeexact
240,SUCCESS,2,0,294.26,38033.3,38327.56,27,196,470.8159999999916,qpeexact
252,SUCCESS,2,0,866.68,38327.56,39194.24,27,928,1386.6880000000122,portfoliovqe
260,SUCCESS,2,0,78.79,39194.24,39273.03,27,45,126.06399999998976,wstate
265,SUCCESS,2,0,805.6,39273.03,40078.63,27,492,1288.9599999999978,qftentangled
272,SUCCESS,2,0,497.72,40078.63,40576.35,27,701,796.3520000000019,qpeexact
275,SUCCESS,2,0,271.26,40576.35,40847.61,27,189,434.01600000000326,ae
276,SUCCESS,2,0,37.21,40847.61,40884.82,27,24,59.53599999999861,ghz
278,SUCCESS,2,0,1549.88,40884.82,42434.7,27,958,2479.807999999996,qpeinexact
285,SUCCESS,2,0,184.92,42434.7,42619.62,27,297,295.8720000000089,qft
287,SUCCESS,2,0,543.08,42619.62,43162.7,27,333,868.9279999999912,qft
289,SUCCESS,2,0,47.67,43162.7,43210.37,27,32,76.27200000000884,graphstate
291,SUCCESS,2,0,868.14,43210.37,44078.51,27,589,1389.0239999999992,su2random
296,SUCCESS,2,0,567.32,44078.51,44645.83,27,543,907.7119999999995,qft
321,SUCCESS,2,0,477.48,44645.83,45123.31,27,475,763.9679999999935,qft
326,SUCCESS,2,0,8.86,45123.31,45132.17,27,11,14.176000000000933,ghz
329,SUCCESS,2,0,233.16,45132.17,45365.33,27,399,373.0560000000056,portfoliovqe
338,SUCCESS,2,0,37.22,45365.33,45402.55,27,27,59.55200000000187,vqe
339,SUCCESS,2,0,145.64,45402.55,45548.19,27,196,233.0239999999991,random
340,SUCCESS,2,0,1644.45,45548.19,47192.64,27,1119,2631.1199999999953,twolocalrandom
342,SUCCESS,2,0,14.95,47192.64,47207.59,27,19,23.920000000006986,ghz
344,SUCCESS,2,0,1142.47,47207.59,48350.06,27,1306,1827.9519999999902,pricingput
359,SUCCESS,2,0,1887.03,48350.06,50237.09,27,2192,3019.2479999999982,random
361,SUCCESS,2,0,427.39,50237.09,50664.48,27,892,683.8240000000108,qpeexact
367,SUCCESS,2,0,30.59,50664.48,50695.07,27,24,48.94399999999442,vqe
369,SUCCESS,2,0,60.43,50695.07,50755.5,27,38,96.68800000000047,dj
374,SUCCESS,2,0,1578.9,50755.5,52334.4,27,902,2526.2400000000025,ae
378,SUCCESS,2,0,851.15,52334.4,53185.55,27,872,1361.8400000000024,qnn
383,SUCCESS,2,0,469.92,53185.55,53655.47,27,772,751.8719999999972,qpeexact
384,SUCCESS,2,0,13398.43,53655.47,67053.9,27,10238,21437.48799999999,grover-noancilla
391,SUCCESS,2,0,143.56,67053.9,67197.46,27,83,229.69599999999627,dj
406,SUCCESS,2,0,3031.5,67197.46,70228.96,27,3481,4850.400000000023,random
407,SUCCESS,2,0,193.69,70228.96,70422.65,27,172,309.90399999998044,qft
416,SUCCESS,2,0,753.33,70422.65,71175.98,27,728,1205.328000000003,qpeexact
427,SUCCESS,2,0,3185.28,71175.98,74361.26,27,2039,5096.4479999999985,realamprandom
434,SUCCESS,2,0,7067.12,74361.26,81428.38,27,9972,11307.391999999993,qwalk-noancilla
447,SUCCESS,2,0,60.36,81428.38,81488.74,27,69,96.57600000002422,tsp
451,SUCCESS,2,0,131.48,81488.74,81620.22,27,105,210.3679999999935,qft
455,SUCCESS,2,0,47.41,81620.22,81667.63,27,79,75.8559999999823,dj
462,SUCCESS,2,0,1255.92,81667.63,82923.55,27,730,2009.4720000000207,qft
466,SUCCESS,2,0,260.73,82923.55,83184.28,27,521,417.1679999999935,twolocalrandom
467,SUCCESS,2,0,211.05,83184.28,83395.33,27,120,337.68000000000467,wstate
472,SUCCESS,2,0,133.63,83395.33,83528.96,27,105,213.8079999999842,wstate
473,SUCCESS,2,0,234.02,83528.96,83762.98,27,329,374.43200000000655,su2random
475,SUCCESS,2,0,448.42,83762.98,84211.4,27,352,717.4719999999973,realamprandom
0,SUCCESS,2,1,85434.95,0.01,85434.96,127,20952,136695.92,random
1,SUCCESS,2,1,15544.74,85434.96,100979.7,127,8733,24871.58400000001,twolocalrandom
