QTask_ID,Status,QDCenter,QNode_ID,Execution_Time,Start_Time,Finish_Time,No_Qubits,Application, Cost
2,SUCCESS,2,0,531.42,0.01,531.43,27,qftentangled,850.2643478260869
3,SUCCESS,2,0,16.22,531.43,547.65,27,routing,25.959652173913128
4,SUCCESS,2,0,31.86,547.65,579.51,27,routing,50.97600000000003
9,SUCCESS,2,0,79.73,579.51,659.24,27,ghz,127.56800000000004
11,SUCCESS,2,0,449.56,659.24,1108.8,27,twolocalrandom,719.2959999999999
12,SUCCESS,2,0,81.6,1108.8,1190.4,27,wstate,130.56000000000023
13,SUCCESS,2,0,296.94,1190.4,1487.34,27,ae,475.10399999999976
15,SUCCESS,2,0,33.81,1487.34,1521.15,27,qaoa,54.09600000000028
17,SUCCESS,2,0,40.16,1521.15,1561.31,27,graphstate,64.25599999999977
19,SUCCESS,2,0,829.95,1561.31,2391.26,27,ae,1327.9200000000005
25,SUCCESS,2,0,1850.09,2391.26,4241.35,27,random,2960.1440000000002
0,SUCCESS,2,1,4858.2,0.01,4858.21,27,pricingcall,7773.12
26,SUCCESS,2,0,705.39,4241.35,4946.74,27,qnn,1128.6239999999991
28,SUCCESS,2,0,43.18,4946.74,4989.92,27,dj,69.08800000000046
32,SUCCESS,2,0,7.18,4989.92,4997.1,27,ghz,11.488000000000467
1,SUCCESS,2,1,412.05,4858.21,5270.26,27,realamprandom,659.2800000000003
5,SUCCESS,2,1,64.21,5270.26,5334.47,27,dj,102.73600000000006
6,SUCCESS,2,1,565.46,5334.47,5899.93,27,qnn,904.7360000000001
7,SUCCESS,2,1,474.78,5899.93,6374.71,27,qpeinexact,759.6479999999997
34,SUCCESS,2,0,1687.33,4997.1,6684.43,27,random,2699.728
35,SUCCESS,2,0,320.37,6684.43,7004.8,27,su2random,512.5919999999999
8,SUCCESS,2,1,1076.87,6374.71,7451.58,27,su2random,1722.992
36,SUCCESS,2,0,707.09,7004.8,7711.89,27,qpeinexact,1131.3440000000003
39,SUCCESS,2,0,33.94,7711.89,7745.83,27,graphstate,54.30399999999936
10,SUCCESS,2,1,559.06,7451.58,8010.64,27,qpeexact,894.4960000000007
40,SUCCESS,2,0,686.96,7745.83,8432.79,27,pricingcall,1099.1360000000016
14,SUCCESS,2,1,618.13,8010.64,8628.77,27,qft,989.0080000000003
42,SUCCESS,2,0,323.22,8432.79,8756.01,27,su2random,517.151999999999
48,SUCCESS,2,0,36.82,8756.01,8792.83,27,dj,58.91199999999954
16,SUCCESS,2,1,490.29,8628.77,9119.06,27,random,784.4639999999986
50,SUCCESS,2,0,714.97,8792.83,9507.8,27,qnn,1143.9520000000018
56,SUCCESS,2,0,276.89,9507.8,9784.69,27,twolocalrandom,443.0239999999991
57,SUCCESS,2,0,713.67,9784.69,10498.36,27,portfoliovqe,1141.872
18,SUCCESS,2,1,1960.94,9119.06,11080,27,pricingcall,3137.504000000001
20,SUCCESS,2,1,131.22,11080,11211.22,27,wstate,209.95199999999897
21,SUCCESS,2,1,1328.6,11211.22,12539.82,27,twolocalrandom,2125.7600000000007
22,SUCCESS,2,1,794.02,12539.82,13333.84,27,portfoliovqe,1270.4320000000007
23,SUCCESS,2,1,786.49,13333.84,14120.33,27,qpeinexact,1258.3839999999998
24,SUCCESS,2,1,17.55,14120.33,14137.88,27,graphstate,28.080000000001746
27,SUCCESS,2,1,297.98,14137.88,14435.86,27,qft,476.76799999999935
29,SUCCESS,2,1,556.59,14435.86,14992.45,27,qftentangled,890.5440000000003
30,SUCCESS,2,1,471.73,14992.45,15464.18,27,realamprandom,754.7679999999993
31,SUCCESS,2,1,246.99,15464.18,15711.17,27,qpeexact,395.1839999999997
33,SUCCESS,2,1,54.62,15711.17,15765.79,27,graphstate,87.39200000000129
58,SUCCESS,2,0,5349.45,10498.36,15847.81,27,pricingput,8559.119999999999
37,SUCCESS,2,1,625.05,15765.79,16390.84,27,qnn,1000.0799999999989
59,SUCCESS,2,0,995.15,15847.81,16842.96,27,random,1592.2399999999996
60,SUCCESS,2,0,224.65,16842.96,17067.61,27,pricingcall,359.43999999999653
62,SUCCESS,2,0,25.83,17067.61,17093.44,27,qaoa,41.328000000002795
38,SUCCESS,2,1,895.69,16390.84,17286.53,27,qnn,1433.103999999998
65,SUCCESS,2,0,240.34,17093.44,17333.78,27,twolocalrandom,384.54400000000027
67,SUCCESS,2,0,501.12,17333.78,17834.9,27,ae,801.7919999999984
69,SUCCESS,2,0,101.91,17834.9,17936.81,27,ghz,163.05599999999978
41,SUCCESS,2,1,840.14,17286.53,18126.67,27,random,1344.2239999999993
70,SUCCESS,2,0,350.21,17936.81,18287.02,27,qpeinexact,560.3360000000044
72,SUCCESS,2,0,559.82,18287.02,18846.84,27,qnn,895.7119999999995
43,SUCCESS,2,1,746.89,18126.67,18873.56,27,qpeinexact,1195.024000000005
44,SUCCESS,2,1,10.51,18873.56,18884.07,27,ghz,16.81599999999744
73,SUCCESS,2,0,193.13,18846.84,19039.97,27,dj,309.00800000000163
45,SUCCESS,2,1,486.4,18884.07,19370.47,27,qpeexact,778.2400000000024
75,SUCCESS,2,0,427.85,19039.97,19467.82,27,qftentangled,684.5599999999977
46,SUCCESS,2,1,394.55,19370.47,19765.02,27,qftentangled,631.279999999993
47,SUCCESS,2,1,305.25,19765.02,20070.27,27,realamprandom,488.40000000000583
76,SUCCESS,2,0,960.37,19467.82,20428.19,27,pricingcall,1536.5919999999985
49,SUCCESS,2,1,362.46,20070.27,20432.73,27,qft,579.9359999999987
